route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Kolkata to Siliguri,https://www.redbus.in/online-booking/north-bengal-state-transport-corporation,NBSTC-KOL-COB-R1-17:00,Non AC Seater 2+2,17:00,12h 00m,05:00,3.6,486,29
Patna (Bihar) to Bettiah,https://www.redbus.in/online-booking/bihar-state-road-transport-corporation-bsrtc/?utm_source=rtchometile,Om Sai Ram (C.T),NON A/C Seater (2+2),14:10,06h 50m,21:00,3.2,500,28
Patna (Bihar) to Bettiah,https://www.redbus.in/online-booking/bihar-state-road-transport-corporation-bsrtc/?utm_source=rtchometile,Om Sai Ram (C.T),NON A/C Seater (2+2),14:50,07h 00m,21:50,3.2,450,28
Patna (Bihar) to Bettiah,https://www.redbus.in/online-booking/bihar-state-road-transport-corporation-bsrtc/?utm_source=rtchometile,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,05h 32m,02:00,3.4,450,6
Patna (Bihar) to Bettiah,https://www.redbus.in/online-booking/bihar-state-road-transport-corporation-bsrtc/?utm_source=rtchometile,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,06h 40m,05:00,3.5,550,54
Diphu to Guwahati,https://www.redbus.in/online-booking/kaac-transport,Kareng Travels,Non AC Seater (2+1),11:15,05h 15m,16:30,4.0,380,13
Kolkata to Digha,https://www.redbus.in/online-booking/west-bengal-transport-corporation?utm_source=rtchometile,West bengal transport corporation - 123496,Non AC Seater (2+3),16:15,04h 30m,20:45,2.4,145,23
Kolkata to Digha,https://www.redbus.in/online-booking/west-bengal-transport-corporation?utm_source=rtchometile,West bengal transport corporation - 157764,Non AC Seater (2+3),17:15,04h 25m,21:40,3.4,145,33
Jammu (j and k) to Srinagar,https://www.redbus.in/online-booking/jksrtc,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,1.4,719,36
Jammu (j and k) to Srinagar,https://www.redbus.in/online-booking/jksrtc,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,02:30,1.0,699,40
Jammu (j and k) to Srinagar,https://www.redbus.in/online-booking/jksrtc,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,09h 30m,06:00,1.0,584,44
Jammu (j and k) to Srinagar,https://www.redbus.in/online-booking/jksrtc,Jamna Travels-Jammu,Non AC Seater (2+2),21:30,10h 30m,08:00,2.4,522,32
Jammu (j and k) to Srinagar,https://www.redbus.in/online-booking/jksrtc,North Kashmir Tour and Travels,,17:15,10h 00m,03:15,1.0,699,40
